Controle de Uso do Cartão Mestre,,,,,,,"FILIAL: 99
CIDADE EXEMPLO"
,,,,,,,
DATA,HORA,MATRÍCULA,NOME,SETOR,FUNÇÃO,MOTIVO,"RESPONSÁVEL
PELA AUTORIZAÇÃO"
01/01/2026,07:53:00,19982,DANIEL ISABELA RIBEIRO JUNIOR,JARDINAGEM,AUX. ADMINISTRATIVO,HORÁRIO NEGADO,HELIO
01/01/2026,07:58:00,38104,LEANDRO PINHEIRO DOS ROCHA,CABOS E FIOS,APROVADOR DE CREDITO,HORÁRIO NEGADO,LUCIO
01/01/2026,08:00:00,35392,PRISCILA FELIPE NASCIMENTO,UTILIDADES DOMESTICAS - PLASTICOS,AUX. DE PREVENCAO DE PERDAS,OUTRA FILIAL,GR5 - EDUARDO
01/01/2026,09:02:59,32347,ISABELA PINHEIRO,TRANSPORTE PESADO,TESOUREIRO,HORÁRIO NEGADO,GR5 - EDUARDO
01/01/2006,09:34:00,27410,DIEGO LUCAS LOPES,RECURSOS HUMANOS,FRENTE DE LOJA,HORÁRIO NEGADO,HELIO
01/01/2026,09:34:00,27410,DIEGO LUCAS LOPES,RECURSOS HUMANOS,FRENTE DE LOJA,HORÁRIO NEGADO,HELIO
01/01/2026,09:45:00,31335,SIMONE ALINE BARBOSA,ENTREGA,AUX.ENTREGA EXTERNA,HORÁRIO NEGADO,KELLY
01/01/2026,10:48:43,35871,JANAINA GOMES DE CORREIA FILHO,MATERIAL ELETRICO,CONFERENTE DE MERCADORIA,HORÁRIO NEGADO,GR1 - ADRIANO
01/01/2026,11:03:00,20035,IGOR BARBOSA DOS RIBEIRO,CABOS E FIOS,AUX. DE ASSISTENCIA TECNICA,HORÁRIO NEGADO,GR3 - CLARA
01/01/2026,11:43:00,31963,HELENA MOREIRA DA RAMOS,TRANSPORTE PESADO,AUX. DE PREVENCAO DE PERDAS,HORÁRIO NEGADO,GR2 - BEATRIZ
01/01/2026,12:20:00,16137,BEATRIZ FREITAS DE TEIXEIRA,0,AUXILIAR DE LIMPEZA SANITARIA,HORÁRIO NEGADO,GRL - FLAVIA
01/01/2026,12:48:00,,MATEUS,MANUTENCAO INFRAESTRUTURA,FRENTE DE LOJA,HORÁRIO NEGADO,LUCIO
01/01/2026,12:52:00,22870,RODRIGO DIEGO RIBEIRO DE FERNANDES,CREDIARIO,AUXILIAR DE LIMPEZA SANITARIA,ARMARIOS,JONAS
01/01/2026,14:50:00,21183,MARCOS NOGUEIRA,MOVEIS E COZINHAS,OPERADOR DE COMPUTADOR,HORÁRIO NEGADO,JONAS
01/01/2026,15:14:00,27943,CLAUDIA ELIAS COSTA DOS SOUZA,ELETRODOMESTICOS-ELETROPORTATEIS,AUX. DE PREVENCAO DE PERDAS,FOLGA FIXA,MARINA
01/01/2026,17:42:00,37159,CARLOS MARTINS DE LIMA,JARDINAGEM,OPERADOR DE EMPILHADEIRA,HORÁRIO NEGADO,GR4 - DENISE
02/01/2026,08:09:00,31985,JULIANA CAMILA FERNANDES DE NEVES JUNIOR,MANUTENCAO INFRAESTRUTURA,OPERADOR DE COMPUTADOR,ARMÁRIO,GRL - FLAVIA
02/01/2026,08:30:00,22816,FELIPE DIAS DE TEIXEIRA,DEPOSITOS INTERNOS,OPERADOR DE LOJA,HORÁRIO NEGADO,IARA
02/01/2026,09:05:00,33957,DANIELA RAQUEL DUARTE,DEPOSITOS INTERNOS,AUX. ADMINISTRATIVO,HORÁRIO NEGADO,LUCIO
02/01/2026,09:13:00,25033,JULIANA FELIPE FARIAS DE GOMES,JARDINAGEM,OPERADOR DE EMPILHADEIRA,HORÁRIO NEGADO,GR1 – ADRIANO
02/01/2026,10:29:00,30872,LUCAS SOUZA DE CORREIA,ELETRODOMESTICOS-ELETROPORTATEIS,ELETRICISTA,HORÁRIO NEGADO,LUCIO
02/01/2026,11:12:00,26146,CLAUDIA SIMONE ROCHA DOS SOUZA,MANUTENCAO INFRAESTRUTURA,OPERADOR DE EMPILHADEIRA,HORÁRIO NEGADO,GR5 - EDUARDO
02/01/2026,12:33:00,,SERGIO,DEPOSITOS INTERNOS,OPERADOR DE LOJA,PERDEU CRACHÁ,HELIO
02/01/2026,13:24:00,22628,IVAN NEVES DOS FERNANDES NETO,CAIXA,AUX.ENTREGA EXTERNA,HORÁRIO NEGADO,GR5 - EDUARDO
02/01/2026,15:11:38,29778,CLAUDIA LEITE,LIMPEZA,AUXILIAR DE LIMPEZA SANITARIA,HORÁRIO NEGADO,HELIO
02/01/2026,17:37:16,36312,SERGIO CARLOS LIMA,METAIS SANITARIOS,SUPERVISOR DE VENDAS,HORÁRIO NEGADO,GR5 - EDUARDO
02/01/2026,17:52:06,36921,CARLOS IGOR REIS DOS TEIXEIRA,VENDAS,OPERADOR DE LOJA,HORÁRIO NEGADO,GR3 - CLARA
02/01/2026,18:50:00,37409,MARIANA MARTINS,TINTAS E ACESSORIOS,MOTORISTA,HORÁRIO NEGADO,GR5 – EDUARDO
