MATRÍCULA,NOME,FUNÇÃO,SETOR,
35871,JANAINA GOMES DE CORREIA FILHO,CONFERENTE DE MERCADORIA,MATERIAL ELETRICO,
31335,SIMONE ALINE BARBOSA,AUX.ENTREGA EXTERNA,ENTREGA,
39939,CARLA CAIO MELO,ELETRICISTA,TECNOLOGIA DA INFORMACAO,
19518,HELENA DUARTE NETO,PROMOTOR(A),EXPEDICAO,
24603,RAFAEL PRISCILA RIBEIRO DOS NASCIMENTO,AUX. DE PREVENCAO DE PERDAS,FRENTE DE LOJA,
16908,OTAVIO ALINE MENDES DA SOUZA,AUX. DE PREVENCAO DE PERDAS,CREDIARIO,
24950,FABIANA CAIO NUNES DOS CUNHA,ATENDENTE,UTILIDADES DOMESTICAS - PLASTICOS,
35392,PRISCILA FELIPE NASCIMENTO,AUX. DE PREVENCAO DE PERDAS,UTILIDADES DOMESTICAS - PLASTICOS,
35337,TATIANA ELAINE LOPES DA DIAS,ATENDENTE,MATERIAL ELETRICO,
32171,TARCISIO LETICIA LEITE DA CARDOSO,CONFERENTE DE MERCADORIA,METAIS SANITARIOS,
39191,MARIANA PEREIRA,OPERADOR DE COMPUTADOR,RECEPCAO DE MERCADORIA - LOJA,
23908,CRISTIANE FELIPE ROCHA DE MENDES,ATENDENTE,MATERIAL ELETRICO,
24941,CLAUDIA CARLA MARTINS DE LEITE,MOTORISTA,UTILIDADES DOMESTICAS - PLASTICOS,
19998,JOAO ELIAS MOREIRA DA FARIAS,OPERADOR DE EMPILHADEIRA,UTILIDADES DOMESTICAS - PLASTICOS,
27687,GABRIEL FELIPE NASCIMENTO DA ROCHA,SUPERVISOR DE VENDAS,FRENTE DE LOJA,
37159,CARLOS MARTINS DE LIMA,OPERADOR DE EMPILHADEIRA,JARDINAGEM,
15540,FABIANA LIMA,SUPERVISOR DE VENDAS,ENTREGA,
34524,FELIPE JORGE DIAS,OPERADOR DE COMPUTADOR,DEPOSITOS INTERNOS,
36635,ANA NEVES DA DUARTE,PROMOTOR(A),UTILIDADES DOMESTICAS - PLASTICOS,
29552,DIEGO IVAN CORREIA,PROMOTOR(A),TESOURARIA,
36437,LETICIA PRISCILA FREITAS DA NASCIMENTO JUNIOR,APROVADOR DE CREDITO,CREDIARIO,
25301,RODRIGO DIEGO SOUZA,OPERADOR DE LOJA,UTILIDADES DOMESTICAS - PLASTICOS,
15228,IGOR ALVES DOS FERNANDES,AUXILIAR DE LIMPEZA SANITARIA,MATERIAL ELETRICO,
33620,FERNANDA VANESSA GOMES FILHO,OPERADOR DE EMPILHADEIRA,TRANSPORTE PESADO,
21100,AMANDA LIMA DE MARTINS,OPERADOR DE LOJA,DEPOSITOS INTERNOS,
27842,MARCOS LUCIANA MARTINS,SUPERVISOR DE VENDAS,MANUTENCAO INFRAESTRUTURA,
31356,LARISSA LEITE,OPERADOR DE EMPILHADEIRA,MANUTENCAO INFRAESTRUTURA,
19603,JORGE DIEGO SOARES,PROMOTOR(A),TINTAS E ACESSORIOS,
30843,BEATRIZ LEITE,ATENDENTE,LIMPEZA,
32478,NATALIA LEITE DE RIBEIRO,FRENTE DE LOJA,VENDAS,
21493,WAGNER GUSTAVO SOUZA,AUXILIAR DE LIMPEZA SANITARIA,ACESSORIOS PARA BANHEIRO,
31279,RICARDO JOANA FERNANDES DOS SOARES NETO,OPERADOR DE COMPUTADOR,BALCAO DE FERRAMENTAS,
30071,DANIEL CORREIA DE BARBOSA,APROVADOR DE CREDITO,RECEPCAO DE MERCADORIA - LOJA,
28733,FELIPE RAFAEL ALVES DOS MACHADO,CONFERENTE DE MERCADORIA,MATERIAL ELETRICO,
16317,PATRICIA NOGUEIRA,AUX. DE PREVENCAO DE PERDAS,VENDAS,
18701,ISABELA RENATA NOGUEIRA DOS LOPES,CONFERENTE DE MERCADORIA,DEPOSITOS INTERNOS,
34588,WAGNER CUNHA,PROMOTOR(A),MANUTENCAO INFRAESTRUTURA,
37754,JANAINA CARDOSO FILHO,ELETRICISTA,CAIXA,
22628,IVAN NEVES DOS FERNANDES NETO,AUX.ENTREGA EXTERNA,CAIXA,
36495,IGOR FARIAS,TESOUREIRO,JARDINAGEM,
38794,MATEUS RAQUEL CORREIA DOS CARDOSO,SUPERVISOR DE VENDAS,MOVEIS E COZINHAS,
31570,MARCIA FARIAS DE CORREIA,VENDEDOR,ACESSORIOS PARA BANHEIRO,
18879,ELIAS NUNES DA NUNES,AUX. DE DEPOSITO,TRANSPORTE PESADO,
17033,RICARDO NATALIA MELO,OPERADOR DE EMPILHADEIRA,PISOS E REVESTIMENTOS,
17315,RODRIGO RAQUEL TEIXEIRA DA SOUZA,ATENDENTE,UTILIDADES DOMESTICAS - PRESENTES,
22371,CAMILA JULIANA PEREIRA DE MACHADO,APRENDIZ EM SERVICOS VENDAS,TESOURARIA,
24474,RENATA DIAS,OPERADOR DE EMPILHADEIRA,METAIS SANITARIOS,
17074,RODRIGO IVAN LOPES DOS TEIXEIRA,AUX.ENTREGA EXTERNA,RECURSOS HUMANOS,
17200,NATALIA TEIXEIRA DA LEITE,OPERADOR DE LOJA,ACESSORIOS PARA BANHEIRO,
18440,GABRIEL BEATRIZ RAMOS DOS FREITAS,AUX. ADMINISTRATIVO,MATERIAL ELETRICO,
26367,RAQUEL CLAUDIA SANTOS DA MENDES,AUX. DE DEPOSITO,LIMPEZA,
19529,SANDRA CAIO FARIAS DOS MACHADO,APRENDIZ EM SERVICOS VENDAS,UTILIDADES DOMESTICAS - PLASTICOS,
33024,MATEUS ALVES DOS CORREIA NETO,OPERADOR DE LOJA,TECNOLOGIA DA INFORMACAO,
24020,OTAVIO NUNES,TESOUREIRO,CREDIARIO,
22665,BRUNO VIVIANE LEITE DOS SILVA,AUX. DE DEPOSITO,UTILIDADES DOMESTICAS - PRESENTES,
26414,NATALIA ROSANA CARDOSO DE NEVES,MOTORISTA,FRENTE DE LOJA,
25621,LEANDRO ROCHA,SUPERVISOR DE VENDAS,VENDAS,
34904,CAIO REIS,ELETRICISTA,PISOS E REVESTIMENTOS,
27410,DIEGO LUCAS LOPES,FRENTE DE LOJA,RECURSOS HUMANOS,
28622,CLAUDIA CRISTIANE CARDOSO,AUX. ADMINISTRATIVO,CREDIARIO,
31920,LEANDRO CARDOSO DA NOGUEIRA NETO,AUX. DE PREVENCAO DE PERDAS,LIMPEZA,
38461,RICARDO CAMILA NUNES DE ROCHA,MOTORISTA,TRANSPORTE PESADO,
38263,SAMUEL GOMES DE SOUZA,AUX.ENTREGA EXTERNA,CAIXA,
31985,JULIANA CAMILA FERNANDES DE NEVES JUNIOR,OPERADOR DE COMPUTADOR,MANUTENCAO INFRAESTRUTURA,
15832,PAULO MARTINS DA NEVES,PROMOTOR(A),VENDAS,
32875,ADRIANA FERNANDES DOS CARDOSO,TESOUREIRO,PREVENCAO DE PERDAS,
36542,OTAVIO RAFAEL MARTINS DA LOPES,AUX. DE ASSISTENCIA TECNICA,CREDIARIO,
26458,MARCELO FERNANDA LEITE DE LOPES,OPERADOR DE EMPILHADEIRA,TESOURARIA,
35550,RAQUEL SANTOS,FRENTE DE LOJA,PREVENCAO DE PERDAS,
15260,RAQUEL FREITAS DA LEITE,VENDEDOR,TESOURARIA,
30326,RODRIGO LARISSA DUARTE,ELETRICISTA,CABOS E FIOS,
38104,LEANDRO PINHEIRO DOS ROCHA,APROVADOR DE CREDITO,CABOS E FIOS,
26891,TARCISIO JOANA SOARES DA NEVES,OPERADOR DE COMPUTADOR,JARDINAGEM,
27401,LARISSA ALVES,AUX. DE PREVENCAO DE PERDAS,BALCAO DE FERRAMENTAS,
28205,GABRIEL MELO,ATENDENTE,TRANSPORTE PESADO,
37341,DIEGO CORREIA,TESOUREIRO,JARDINAGEM,
30918,WAGNER TATIANA MOREIRA DE PINHEIRO,MOTORISTA,EXPEDICAO,
30483,LUCAS JORGE NEVES,AUX. DE DEPOSITO,UTILIDADES DOMESTICAS - PRESENTES,
19740,ANA RAMOS,AUX. ADMINISTRATIVO,TRANSPORTE PESADO,
28211,VICTOR FABIANA PEREIRA DE DIAS,VENDEDOR,MANUTENCAO INFRAESTRUTURA,
25723,CAIO DIEGO LOPES,APRENDIZ EM SERVICOS VENDAS,JARDINAGEM,
19670,ELIAS WAGNER FERNANDES,PROMOTOR(A),FRENTE DE LOJA,
23110,ELAINE RAMOS,VENDEDOR,EXPEDICAO,
15189,RAFAEL CORREIA DE NEVES,AUX. DE PREVENCAO DE PERDAS,PISOS E REVESTIMENTOS,
16876,AMANDA CARLOS FERNANDES,TESOUREIRO,PISOS E REVESTIMENTOS,
36271,IGOR MOREIRA NETO,FRENTE DE LOJA,UTILIDADES DOMESTICAS - PRESENTES,
33540,JOANA REIS DE LIMA,ATENDENTE,PREVENCAO DE PERDAS,
27149,JOAO SOUZA DOS MOREIRA,ELETRICISTA,PISOS E REVESTIMENTOS,
23833,OTAVIO SILVA DA MACHADO,APRENDIZ EM SERVICOS VENDAS,EXPEDICAO,
38281,IGOR ROSANA DIAS DOS NASCIMENTO NETO,AUX. ADMINISTRATIVO,RECURSOS HUMANOS,
17931,CARLOS NATALIA CUNHA DOS CUNHA JUNIOR,OPERADOR DE LOJA,TESOURARIA,
29034,RODRIGO NEVES,APROVADOR DE CREDITO,DEPOSITOS INTERNOS,
23118,ROSANA RODRIGO MACHADO DA MOREIRA,VENDEDOR,VENDAS,
32301,PRISCILA ALINE MACHADO DA LIMA,AUX. DE PREVENCAO DE PERDAS,MANUTENCAO INFRAESTRUTURA,
36001,MARCOS DIAS,AUX. DE ASSISTENCIA TECNICA,ACESSORIOS PARA BANHEIRO,
18797,VICTOR MELO DOS CORREIA,AUXILIAR DE LIMPEZA SANITARIA,UTILIDADES DOMESTICAS - PLASTICOS,
26844,ALINE FERNANDA PINHEIRO,OPERADOR DE COMPUTADOR,CREDIARIO,
35549,ELAINE VIEIRA NETO,AUX. DE ASSISTENCIA TECNICA,ENTREGA,
37821,RENATA LETICIA SANTOS DA SOARES FILHO,AUX.ENTREGA EXTERNA,TESOURARIA,
23771,BEATRIZ AMANDA PEREIRA DA BARBOSA,OPERADOR DE COMPUTADOR,METAIS SANITARIOS,
30420,ALINE FERNANDES DE GOMES,OPERADOR DE LOJA,FRENTE DE LOJA,
21004,PEDRO LOPES DE PINHEIRO,APROVADOR DE CREDITO,ELETRODOMESTICOS-ELETROPORTATEIS,
25645,JULIANA ROCHA DOS FREITAS,AUXILIAR DE LIMPEZA SANITARIA,PREVENCAO DE PERDAS,
28345,FERNANDA NASCIMENTO DOS PINHEIRO,FRENTE DE LOJA,TRANSPORTE PESADO,
32792,CRISTIANE TARCISIO MELO DA LIMA,TESOUREIRO,UTILIDADES DOMESTICAS - PRESENTES,
20182,VICTOR DANIELA VIEIRA,OPERADOR DE EMPILHADEIRA,ELETRODOMESTICOS-ELETROPORTATEIS,
27207,LARISSA TEIXEIRA DE FARIAS,VENDEDOR,DEPOSITOS INTERNOS,
22443,RENATA MELO DOS TEIXEIRA,ELETRICISTA,TECNOLOGIA DA INFORMACAO,
22841,CARLA IGOR MENDES DOS PEREIRA NETO,AUXILIAR DE LIMPEZA SANITARIA,TINTAS E ACESSORIOS,
34065,DANIEL ISABELA COSTA DA NEVES,TESOUREIRO,JARDINAGEM,
21830,RAFAEL ISABELA COSTA DOS LIMA FILHO,AUX. DE ASSISTENCIA TECNICA,UTILIDADES DOMESTICAS - PLASTICOS,
15082,NATALIA ROCHA JUNIOR,ELETRICISTA,BALCAO DE FERRAMENTAS,
29563,SILVIA DIAS DA LIMA FILHO,OPERADOR DE EMPILHADEIRA,ELETRODOMESTICOS-ELETROPORTATEIS,
29597,GUSTAVO JOANA CORREIA DOS VIEIRA,AUX. DE PREVENCAO DE PERDAS,JARDINAGEM,
30901,MARCIA AMANDA MELO DA TEIXEIRA,APROVADOR DE CREDITO,TINTAS E ACESSORIOS,
17596,ANA REIS DE DIAS,ELETRICISTA,ENTREGA,
21163,GISELE MACHADO,MOTORISTA,UTILIDADES DOMESTICAS - PLASTICOS,
27294,JOAO JULIANA PINHEIRO DE VIEIRA,OPERADOR DE LOJA,UTILIDADES DOMESTICAS - PRESENTES,
21730,JANAINA SANDRA REIS,VENDEDOR,UTILIDADES DOMESTICAS - PLASTICOS,
19770,LEANDRO GABRIEL COSTA,OPERADOR DE LOJA,CABOS E FIOS,
25309,CAIO LIMA DE VIEIRA,TESOUREIRO,MATERIAL ELETRICO,
36755,THIAGO LUCAS RAMOS DA SILVA,FRENTE DE LOJA,ENTREGA,
32565,VANESSA ELIAS NEVES,ELETRICISTA,TINTAS E ACESSORIOS,
23890,FERNANDA LOPES DE LOPES,CONFERENTE DE MERCADORIA,JARDINAGEM,
17696,IGOR LEANDRO LEITE FILHO,AUX.ENTREGA EXTERNA,RECURSOS HUMANOS,
20406,JOANA FABIANA VIEIRA DOS ALVES,ATENDENTE,MATERIAL ELETRICO,
31881,FELIPE VICTOR SILVA DE BARBOSA,ELETRICISTA,ENTREGA,
29023,MARCOS AMANDA CUNHA DA MARTINS,OPERADOR DE LOJA,MANUTENCAO INFRAESTRUTURA,
21374,BRUNO LOPES DOS COSTA,TESOUREIRO,PREVENCAO DE PERDAS,
21484,JANAINA GISELE MOREIRA,ELETRICISTA,PISOS E REVESTIMENTOS,
30499,ISABELA SILVA DOS PINHEIRO,FRENTE DE LOJA,MOVEIS E COZINHAS,
34886,HELENA MARIANA FREITAS,TESOUREIRO,BALCAO DE FERRAMENTAS,
21290,MARCOS DIEGO MELO,ATENDENTE,JARDINAGEM,
21545,DIEGO COSTA,APROVADOR DE CREDITO,MATERIAL ELETRICO,
22816,FELIPE DIAS DE TEIXEIRA,OPERADOR DE LOJA,DEPOSITOS INTERNOS,
38049,ANA ANA COSTA,TESOUREIRO,TRANSPORTE PESADO,
38273,ADRIANA JOAO SOARES,CONFERENTE DE MERCADORIA,METAIS SANITARIOS,
19860,SILVIA MARTINS,AUXILIAR DE LIMPEZA SANITARIA,VENDAS,
25522,CLAUDIA NOGUEIRA FILHO,AUX. DE PREVENCAO DE PERDAS,CABOS E FIOS,
32347,ISABELA PINHEIRO,TESOUREIRO,TRANSPORTE PESADO,
18296,SANDRA ISABELA MENDES,OPERADOR DE EMPILHADEIRA,VENDAS,
30613,DIEGO JOAO MOREIRA,AUX. ADMINISTRATIVO,CABOS E FIOS,
25778,TATIANA SANTOS DOS PEREIRA,AUXILIAR DE LIMPEZA SANITARIA,UTILIDADES DOMESTICAS - PLASTICOS,
16410,CARLOS RICARDO MARTINS DE BARBOSA,OPERADOR DE EMPILHADEIRA,CABOS E FIOS,
31497,CARLA MENDES DE FARIAS,APRENDIZ EM SERVICOS VENDAS,TINTAS E ACESSORIOS,
33860,ROSANA LEANDRO NEVES,CONFERENTE DE MERCADORIA,TECNOLOGIA DA INFORMACAO,
38801,SAMUEL CAMILA DUARTE DE FREITAS FILHO,AUX. DE PREVENCAO DE PERDAS,TESOURARIA,
37045,TARCISIO CARDOSO DA CORREIA,FRENTE DE LOJA,LIMPEZA,
32692,MARCIA PINHEIRO,AUX. ADMINISTRATIVO,TESOURARIA,
24260,ROSANA PAULO RIBEIRO,ATENDENTE,VENDAS,
31968,RAFAEL VIEIRA DA PINHEIRO,ATENDENTE,EXPEDICAO,
26890,PEDRO HELENA CORREIA DE SANTOS,AUXILIAR DE LIMPEZA SANITARIA,CREDIARIO,
22620,PATRICIA ISABELA FERNANDES FILHO,APROVADOR DE CREDITO,TESOURARIA,
15674,RAFAEL FERNANDES DE LOPES,ELETRICISTA,PREVENCAO DE PERDAS,
37563,BRUNO SIMONE FERNANDES,ELETRICISTA,RECEPCAO DE MERCADORIA - LOJA,
32568,MARCOS LOPES DA CUNHA,AUX. ADMINISTRATIVO,VENDAS,
32928,EDUARDO TEIXEIRA DOS CARDOSO,VENDEDOR,BALCAO DE FERRAMENTAS,
31205,MARCOS JOAO RIBEIRO,APROVADOR DE CREDITO,FRENTE DE LOJA,
32578,BEATRIZ DIAS DA PEREIRA,CONFERENTE DE MERCADORIA,UTILIDADES DOMESTICAS - PRESENTES,
34438,GISELE SERGIO COSTA DA FARIAS,OPERADOR DE COMPUTADOR,ACESSORIOS PARA BANHEIRO,
31764,PEDRO LUCIANA PEREIRA,ATENDENTE,RECURSOS HUMANOS,
27374,DANIEL PEDRO LEITE DA GOMES,MOTORISTA,ACESSORIOS PARA BANHEIRO,
33955,ISABELA EDUARDO TEIXEIRA DOS MACHADO,AUX. DE DEPOSITO,LIMPEZA,
35676,ADRIANA TEIXEIRA DA LEITE,FRENTE DE LOJA,TECNOLOGIA DA INFORMACAO,
36796,IVAN FREITAS,SUPERVISOR DE VENDAS,FRENTE DE LOJA,
36312,SERGIO CARLOS LIMA,SUPERVISOR DE VENDAS,METAIS SANITARIOS,
15786,EDUARDO JORGE RAMOS,VENDEDOR,CAIXA,
21562,PEDRO MACHADO DOS PINHEIRO,TESOUREIRO,RECEPCAO DE MERCADORIA - LOJA,
37810,RODRIGO RAQUEL SANTOS DOS MOREIRA,VENDEDOR,RECURSOS HUMANOS,
31415,RAQUEL LIMA,VENDEDOR,LIMPEZA,
22160,DANIEL AMANDA GOMES,APROVADOR DE CREDITO,MANUTENCAO INFRAESTRUTURA,
36131,TARCISIO PATRICIA ALVES,AUXILIAR DE LIMPEZA SANITARIA,MATERIAL ELETRICO,
27627,SAMUEL AMANDA MELO DA FARIAS,ELETRICISTA,TESOURARIA,
20061,RODRIGO PATRICIA COSTA,OPERADOR DE LOJA,JARDINAGEM,
28358,CRISTIANE JULIANA SOARES,VENDEDOR,TINTAS E ACESSORIOS,
31971,PRISCILA MATEUS MENDES DE BARBOSA,CONFERENTE DE MERCADORIA,BALCAO DE FERRAMENTAS,
31362,THIAGO VICTOR LOPES DE DUARTE,AUX. ADMINISTRATIVO,ACESSORIOS PARA BANHEIRO,
35399,MARCIA PEREIRA,OPERADOR DE EMPILHADEIRA,PREVENCAO DE PERDAS,
16234,VANESSA ALINE MOREIRA,VENDEDOR,LIMPEZA,
35003,MATEUS SANDRA CARDOSO,OPERADOR DE COMPUTADOR,ELETRODOMESTICOS-ELETROPORTATEIS,
30709,CAIO AMANDA RIBEIRO DOS COSTA,TESOUREIRO,RECEPCAO DE MERCADORIA - LOJA,
20236,RAQUEL FERNANDES,AUX.ENTREGA EXTERNA,TECNOLOGIA DA INFORMACAO,
22870,RODRIGO DIEGO RIBEIRO DE FERNANDES,AUXILIAR DE LIMPEZA SANITARIA,CREDIARIO,
20618,FERNANDA MARCIA MARTINS DA NASCIMENTO,CONFERENTE DE MERCADORIA,CABOS E FIOS,
30357,MARCOS LIMA DOS DUARTE,AUXILIAR DE LIMPEZA SANITARIA,CAIXA,
17534,PEDRO JANAINA CUNHA DE TEIXEIRA,TESOUREIRO,JARDINAGEM,
33122,RAFAEL ANA MENDES DE COSTA,APRENDIZ EM SERVICOS VENDAS,RECURSOS HUMANOS,
28041,IVAN COSTA DOS ROCHA,APROVADOR DE CREDITO,EXPEDICAO,
24483,TATIANA CUNHA DOS ROCHA,VENDEDOR,VENDAS,
33160,PAULO RICARDO SOUZA,MOTORISTA,UTILIDADES DOMESTICAS - PLASTICOS,
26146,CLAUDIA SIMONE ROCHA DOS SOUZA,OPERADOR DE EMPILHADEIRA,MANUTENCAO INFRAESTRUTURA,
22129,MARCIA RAMOS DA BARBOSA FILHO,FRENTE DE LOJA,JARDINAGEM,
31125,ISABELA GABRIEL SOARES DA SILVA,APRENDIZ EM SERVICOS VENDAS,MOVEIS E COZINHAS,
27083,TARCISIO FERNANDA LOPES,MOTORISTA,ENTREGA,
31402,FELIPE EDUARDO MOREIRA,AUX. DE DEPOSITO,UTILIDADES DOMESTICAS - PLASTICOS,
20627,CAIO RAMOS DA NUNES JUNIOR,AUX. DE PREVENCAO DE PERDAS,CAIXA,
31963,HELENA MOREIRA DA RAMOS,AUX. DE PREVENCAO DE PERDAS,TRANSPORTE PESADO,
37904,PEDRO NATALIA FREITAS DOS PINHEIRO,ATENDENTE,PISOS E REVESTIMENTOS,
30189,HELENA SANTOS DA GOMES,AUX. DE DEPOSITO,TECNOLOGIA DA INFORMACAO,
19745,WAGNER PINHEIRO DOS SANTOS JUNIOR,FRENTE DE LOJA,UTILIDADES DOMESTICAS - PLASTICOS,
25947,JORGE IVAN MOREIRA FILHO,AUX. DE PREVENCAO DE PERDAS,JARDINAGEM,
30524,MARCELO JOAO LIMA DE ALVES,OPERADOR DE LOJA,ENTREGA,
38621,LARISSA ROCHA,MOTORISTA,PREVENCAO DE PERDAS,
16782,JANAINA TEIXEIRA,AUX. DE DEPOSITO,TESOURARIA,
35070,AMANDA LEANDRO LEITE,AUX. DE PREVENCAO DE PERDAS,CAIXA,
38141,NATALIA TEIXEIRA,FRENTE DE LOJA,FRENTE DE LOJA,
16137,BEATRIZ FREITAS DE TEIXEIRA,AUXILIAR DE LIMPEZA SANITARIA,METAIS SANITARIOS,
24357,MARIANA ALINE PINHEIRO DE SANTOS NETO,AUX. ADMINISTRATIVO,EXPEDICAO,
38190,PRISCILA LIMA,CONFERENTE DE MERCADORIA,MATERIAL ELETRICO,
33891,JOANA SERGIO PINHEIRO DOS MELO,ELETRICISTA,ELETRODOMESTICOS-ELETROPORTATEIS,
21674,GISELE TATIANA PINHEIRO,OPERADOR DE COMPUTADOR,DEPOSITOS INTERNOS,
17445,LUCAS WAGNER MACHADO,MOTORISTA,TINTAS E ACESSORIOS,
27565,BEATRIZ ELAINE PEREIRA DOS SILVA JUNIOR,AUXILIAR DE LIMPEZA SANITARIA,MOVEIS E COZINHAS,
36921,CARLOS IGOR REIS DOS TEIXEIRA,OPERADOR DE LOJA,VENDAS,
17723,RENATA RODRIGO MENDES DA RAMOS,TESOUREIRO,JARDINAGEM,
39641,RODRIGO ALINE NOGUEIRA,AUX. DE ASSISTENCIA TECNICA,VENDAS,
30723,ELIAS SILVIA FERNANDES DA LOPES,FRENTE DE LOJA,PISOS E REVESTIMENTOS,
25263,SANDRA TATIANA SOARES DOS TEIXEIRA,AUX. DE ASSISTENCIA TECNICA,LIMPEZA,
22990,VICTOR NASCIMENTO DE BARBOSA,TESOUREIRO,CAIXA,
